SFN,BSR_index,requested_bytes,allocated_bytes_pusch,allocated_bytes_grant,overlap_bytes,ratio_pusch,ratio_grant,bs_load,smoothed_ratio_pusch,smoothed_ratio_grant,smoothed_bs_load
39054,36,2490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05200079550556469,0.07727777777777778
39059,33,1552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010746766791823114,0.05422222222222223
39064,26,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
39069,10,42.0,0.0,188.0,0.0,0.0,4.476190476190476,0.006060606060606061,0.0,2.6857142857142855,0.0036363636363636364
39080,29,826.0,0.0,824.0,0.0,0.0,0.9975786924939467,0.12708333333333333,0.0,1.4937853107344634,0.0774621212121212
39088,28,706.0,0.0,173.0,0.0,0.0,0.24504249291784702,0.0020833333333333333,0.0,1.2417793294875927,0.02787878787878788
39096,18,146.0,0.0,194.0,0.0,0.0,1.3287671232876712,0.007916666666666666,0.0,1.0457845110549615,0.03058333333333333
39136,28,706.0,0.0,787.0,0.0,0.0,1.114730878186969,0.08125,0.0,1.114730878186969,0.08125
39152,24,376.0,0.0,190.0,0.0,0.0,0.5053191489361702,0.03263888888888889,0.0,0.7490838406364897,0.052083333333333336
39176,16,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39188,15,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39196,22,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39204,49,19325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39212,49,19325.0,0.0,353.0,0.0,0.0,0.018266494178525227,0.0,0.0,0.010959896507115137,0.0
39217,48,16507.0,0.0,564.0,0.0,0.0,0.03416732295389835,0.2777777777777778,0.0,0.024153692608044054,0.16666666666666666
39223,48,16507.0,0.0,608.0,0.0,0.0,0.0368328587871812,0.23666666666666666,0.0,0.029090890889965196,0.17903703703703702
39228,48,16507.0,0.0,2032.0,0.0,0.0,0.12309929120978978,0.09768518518518518,0.0,0.08576179818182117,0.1272037037037037
39264,46,12043.0,0.0,1485.0,0.0,0.0,0.12330814581084447,0.4633333333333333,0.0,0.12330814581084447,0.4633333333333333
39269,46,12043.0,0.0,471.0,0.0,0.0,0.039109856348086024,0.5,0.0,0.0727891721331894,0.48533333333333334
39274,45,10287.0,0.0,757.0,0.0,0.0,0.07358802371925731,0.2,0.0,0.07663641466334048,0.31266666666666665
39279,45,10287.0,0.0,588.0,0.0,0.0,0.05715952172645086,0.36666666666666664,0.0,0.06576318315296223,0.37511111111111106
39284,46,12043.0,0.0,656.0,0.0,0.0,0.054471477206676076,0.38,0.0,0.05533053989651154,0.37022222222222223
39289,46,12043.0,0.0,2329.0,0.0,0.0,0.19339035124138504,0.20857142857142857,0.0,0.1407300804318156,0.25136507936507935
39324,43,7505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39329,42,6411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39334,41,5476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39339,40,4677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39347,39,3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39352,37,2915.0,0.0,4117.0,0.0,0.0,1.4123499142367066,0.16372549019607843,0.0,0.847409948542024,0.09823529411764706
39437,50,22624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39442,49,19325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39447,49,19325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39452,51,26487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39457,51,26487.0,0.0,269.0,0.0,0.0,0.010155925548382225,0.0,0.0,0.006093555329029335,0.0
39462,50,22624.0,0.0,748.0,0.0,0.0,0.03306223479490806,0.20666666666666667,0.0,0.021191464283395797,0.124
39467,50,22624.0,0.0,559.0,0.0,0.0,0.024708274398868458,0.4633333333333333,0.0,0.020587386018426447,0.3055555555555555
39472,50,22624.0,0.0,612.0,0.0,0.0,0.02705091937765205,0.1904761904761905,0.0,0.025287409592212394,0.20361904761904762
39479,50,22624.0,0.0,475.0,0.0,0.0,0.020995403111739745,0.28,0.0,0.02390676567656766,0.2827301587301587
39484,50,22624.0,0.0,87.0,0.0,0.0,0.0038454738330975955,0.18000000000000002,0.0,0.012007897218293258,0.23250793650793655
39489,50,22624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069189061763319185,0.08673015873015874
39494,50,22624.0,0.0,3967.0,0.0,0.0,0.1753447666195191,0.12305555555555556,0.0,0.10851897689768976,0.13516666666666668
39554,51,26487.0,0.0,436.0,0.0,0.0,0.01646090534979424,0.5066666666666666,0.0,0.01646090534979424,0.5066666666666666
39559,52,31009.0,0.0,45.0,0.0,0.0,0.001451191589538521,0.24333333333333332,0.0,0.007455077093640809,0.3486666666666667
39564,52,31009.0,0.0,117.0,0.0,0.0,0.003773098132800155,0.02142857142857143,0.0,0.0058462782675466445,0.16285714285714284
39571,51,26487.0,0.0,380.0,0.0,0.0,0.014346660625967456,0.07222222222222222,0.0,0.011499355718531529,0.14619047619047618
39577,51,26487.0,0.0,587.0,0.0,0.0,0.022161815230112885,0.12666666666666665,0.0,0.015906549184508546,0.12093121693121692
39582,51,26487.0,0.0,1149.0,0.0,0.0,0.04337977120851739,0.14193548387096774,0.0,0.03139873925696116,0.11453695169824202
39613,54,42502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39619,53,36304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39624,53,36304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39631,54,42502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39637,54,42502.0,0.0,19166.0,0.0,0.0,0.45094348501247,0.20359477124183006,0.0,0.27056609100748197,0.12215686274509803
39892,57,68201.0,0.0,500.0,0.0,0.0,0.007331270802480902,0.2966666666666667,0.0,0.007331270802480902,0.2966666666666667
39897,57,68201.0,0.0,336.0,0.0,0.0,0.004926613979267166,0.29333333333333333,0.0,0.005888476708552661,0.2946666666666667
39902,57,68201.0,0.0,684.0,0.0,0.0,0.010029178457793874,0.38333333333333336,0.0,0.008469084031025939,0.34800000000000003
39908,57,68201.0,0.0,344.0,0.0,0.0,0.00504391431210686,0.3266666666666667,0.0,0.005997957019203042,0.32577777777777783
39913,57,68201.0,0.0,250.0,0.0,0.0,0.003665635401240451,0.125,0.0,0.0048660088072999905,0.20877777777777778
39915,57,68201.0,0.0,210.0,0.0,0.0,0.003079133737041979,0.011469534050179213,0.0,0.004214014457266022,0.11971505376344087
40008,57,68201.0,0.0,362.0,0.0,0.0,0.005307840060996173,0.24000000000000002,0.0,0.005307840060996173,0.24000000000000002
40013,57,68201.0,0.0,382.0,0.0,0.0,0.005601090893095409,0.13666666666666666,0.0,0.005483790560255714,0.178
