SFN,supply_bytes_grant,supply_bytes_pusch,demand_bytes,ratio_grant,ratio_pusch,smoothed_ratio_grant,smoothed_ratio_pusch
141,193.0,,2735.0,14.17098445595855,,50.27711659129976,22.638901772259015
141,19.0,,2735.0,143.94736842105263,,58.12820136882844,24.003928483639104
142,117.0,35.0,2735.0,23.376068376068375,78.14285714285714,58.733492190837524,29.814551194261814
142,35.0,35.0,2735.0,78.14285714285714,78.14285714285714,62.56035882265772,28.186575003785624
143,51.0,,2735.0,53.627450980392155,,64.2911771260332,29.60320121904389
144,35.0,69.0,2735.0,78.14285714285714,39.63768115942029,67.88854650856882,31.918355464813143
145,117.0,193.0,2735.0,23.376068376068375,14.17098445595855,65.41563105676325,32.253997033257995
145,117.0,18.0,2735.0,23.376068376068375,151.94444444444446,65.26721157501044,44.877480673488044
146,137.0,117.0,2735.0,19.963503649635037,23.376068376068375,52.56316379796996,45.81293012568391
146,137.0,35.0,2735.0,19.963503649635037,78.14285714285714,50.847392211215485,50.7165044274883
147,11.0,51.0,2735.0,248.63636363636363,53.627450980392155,61.847322867896715,54.04740200391018
148,75.0,35.0,2735.0,36.46666666666667,78.14285714285714,60.94412369349012,56.05535659882242
149,105.0,117.0,2735.0,26.047619047619047,23.376068376068375,60.76722984596808,53.54156519707211
149,79.0,117.0,2735.0,34.620253164556964,23.376068376068375,58.99066422305003,53.33606129926052
149,71.0,117.0,2735.0,38.521126760563384,23.376068376068375,59.866512999921774,51.196061804746805
150,87.0,137.0,2735.0,31.436781609195403,19.963503649635037,55.984643206073756,49.11389126107268
150,157.0,137.0,2735.0,17.420382165605094,19.963503649635037,52.78872347042892,48.48421802767917
150,4.0,137.0,2735.0,683.75,19.963503649635037,84.66278362080486,46.701673379051414
151,61.0,,2735.0,44.83606557377049,,82.67144771845315,48.35645160432151
152,217.0,75.0,2735.0,12.603686635944701,36.46666666666667,82.62128379154392,47.613340045718076
153,,105.0,60.0,,0.5714285714285714,86.22393112499577,44.84616878252457
153,,79.0,60.0,,0.759493670886076,83.01707349743707,42.39690905410022
154,55.0,87.0,60.0,1.0909090909090908,0.6896551724137931,81.77900909270598,38.09395338907559
155,,61.0,60.0,,0.9836065573770492,81.99290038387356,33.80732835654892
156,,217.0,60.0,,0.2764976958525346,83.76574097159116,32.04254779545963
157,9.0,28.0,60.0,6.666666666666667,2.142857142857143,79.29847906682926,30.069136005114203
157,149.0,28.0,60.0,0.40268456375838924,2.142857142857143,77.86264257855989,29.436076672845704
158,97.0,87.0,60.0,0.6185567010309279,0.6896551724137931,76.44029809887004,21.475298290107254
159,,32.0,60.0,,1.875,80.20541772881903,20.343663112419446
160,,61.0,60.0,,0.9836065573770492,84.5084115916179,16.282649923709965
161,113.0,149.0,60.0,0.5309734513274337,0.40268456375838924,66.78659800697245,13.48134642809766
161,113.0,22.0,60.0,0.5309734513274337,2.727272727272727,64.21976277730536,9.512105143066904
162,,87.0,60.0,,0.6896551724137931,67.15608152574276,8.318083395506136
163,,22.0,60.0,,2.727272727272727,69.86740055584158,7.23130467714847
165,157.0,113.0,60.0,0.3821656050955414,0.5309734513274337,66.68915379288593,6.028931260056843
165,157.0,73.0,60.0,0.3821656050955414,0.821917808219178,64.10126912587761,5.021479373666534
166,,93.0,60.0,,0.6451612903225806,68.34498612226602,4.004724512650088
167,11.0,161.0,60.0,5.454545454545454,0.37267080745341613,6.681762981770151,2.973628047272109
169,,26.0,60.0,,2.3076923076923075,2.8663327225701174,2.9403312602931186
173,333.0,,60.0,0.18018018018018017,,1.623982076993666,1.175787291536616
174,193.0,,60.0,0.31088082901554404,,1.504609236268382,1.2093627759870629
175,157.0,,60.0,0.3821656050955414,,1.4110722670039788,1.2358256645224153
177,97.0,,60.0,0.6185567010309279,,1.3717095678474651,1.2699613202792042
181,209.0,,60.0,0.28708133971291866,,1.2882766272217308,1.2890516378060144
182,349.0,,150000.0,429.7994269340974,,31.89621593485571,1.36137691937412
183,293.0,,150000.0,511.9453924914676,,67.98755349377006,1.3012630560292722
184,325.0,,267.0,0.8215384615384616,,68.01747162932578,1.231130215460283
185,277.0,,267.0,0.9638989169675091,,68.0421389304641,1.2803552193736003
185,93.0,,267.0,2.870967741935484,,63.6973941845622,1.2208907413109604
186,293.0,,267.0,0.9112627986348123,,59.77326097294174,1.2472556506369505
186,125.0,,267.0,2.136,,59.873575132233775,1.3528270364967705
187,113.0,,267.0,2.3628318584070795,,59.98806628267625,1.1564776521002054
187,217.0,,267.0,1.2304147465437787,,56.53173383937434,1.2342813987146073
187,149.0,,267.0,1.7919463087248322,,53.49063453211604,0.9356831330029834
188,97.0,,150000.0,1546.3917525773195,,139.38005603057294,1.036860553421871
189,333.0,,150000.0,450.45045045045043,,164.38384963309264,1.1085081351561017
190,169.0,,150000.0,887.5739644970414,,202.446487257511,1.3401815575728624
191,61.0,,150000.0,2459.0163934426228,,331.58132136214664,2.3076923076923075
192,105.0,,116.0,1.1047619047619048,,315.0574933892774,
193,4.0,333.0,116.0,29.0,0.3483483483483483,316.4984843802684,0.3483483483483483
193,51.0,333.0,116.0,2.2745098039215685,0.3483483483483483,316.59666582901366,0.3483483483483483
194,113.0,,150000.0,1327.4336283185842,,382.9492389646881,0.3483483483483483
195,185.0,,150000.0,810.8108108108108,,423.4588516701771,0.3483483483483483
196,,105.0,2735.0,,26.047619047619047,445.73105010862264,8.914771914771915
197,9.0,,2735.0,303.8888888888889,,439.10417968519056,8.914771914771915
197,141.0,,2735.0,19.397163120567377,,413.1805886656695,8.914771914771915
198,109.0,113.0,2735.0,25.091743119266056,24.20353982300885,414.45796785818146,12.736963891831149
