TTI	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
1623	0	0	0	0	-	-	-	-	-
1626	0	0	0	0	-	-	-	-	-
1631	0	0	0	0	-	-	-	-	-
1632	-	-	-	-	9	11	6	-	-
1633	0	0	0	0	-	-	-	-	-
1636	0	0	0	0	-	-	-	-	-
1637	-	-	-	-	6	16	10	-	-
1639	-	-	-	-	9	11	6	-	-
1641	0	0	0	0	-	-	-	0	241
1642	-	-	-	-	5	17	11	0	217
1643	0	0	0	0	-	-	-	1	225
1646	0	0	0	0	-	-	-	0	225
1647	-	-	-	-	8	12	7	-	-
1651	0	0	0	0	-	-	-	0	225
1652	-	-	-	-	6	16	10	-	-
1654	-	-	-	-	8	13	8	-	-
1656	0	0	0	0	-	-	-	0	241
1657	-	-	-	-	4	23	17	-	-
1658	0	0	0	0	-	-	-	1	253
1661	0	0	0	0	-	-	-	0	285
1662	-	-	-	-	3	23	17	-	-
1664	-	-	-	-	4	20	14	-	-
1666	0	0	0	0	-	-	-	0	217
1667	-	-	-	-	4	23	17	-	-
1668	0	0	0	0	-	-	-	1	233
1671	0	0	0	0	-	-	-	0	285
1672	-	-	-	-	3	23	17	-	-
1674	-	-	-	-	4	20	14	-	-
1676	0	0	0	0	-	-	-	0	217
1677	-	-	-	-	4	23	17	-	-
1678	0	0	0	0	-	-	-	1	233
1681	0	0	0	0	-	-	-	0	285
1682	-	-	-	-	4	20	14	-	-
1684	-	-	-	-	5	17	11	-	-
1686	0	0	0	0	-	-	-	0	233
1687	-	-	-	-	4	21	15	-	-
1688	0	0	0	0	-	-	-	1	225
1691	0	0	0	0	-	-	-	0	249
1692	-	-	-	-	4	22	16	-	-
1694	-	-	-	-	5	17	11	-	-
1696	0	0	0	0	-	-	-	0	269
1697	-	-	-	-	4	20	14	-	-
1698	0	0	0	0	-	-	-	1	225
1700	-	-	-	-	4	22	30	-	-
1701	0	0	0	0	-	-	-	0	233
1702	-	-	-	-	8	13	8	-	-
1704	-	-	-	-	6	16	10	0	269
1706	0	0	0	0	-	-	-	0	253
1707	-	-	-	-	4	19	13	-	-
1708	0	0	0	0	-	-	-	1	241
1711	0	0	0	0	-	-	-	0	217
1713	-	-	-	-	6	16	10	-	-
1714	-	-	-	-	8	14	9	0	253
1717	0	0	0	0	4	19	13	0	241
1718	0	0	0	0	-	-	-	1	285
1721	0	0	0	0	-	-	-	0	217
1722	-	-	-	-	8	12	7	-	-
1726	0	0	0	0	8	12	7	0	225
1727	-	-	-	-	8	12	7	-	-
1729	-	-	-	-	-	-	-	0	217
1730	0	0	0	0	-	-	-	0	225
1731	-	-	-	-	-	-	-	0	225
1732	-	-	-	-	8	13	8	-	-
1736	-	-	-	-	8	14	9	0	253
1737	-	-	-	-	5	17	11	-	-
1740	-	-	-	-	-	-	-	1	285
1741	-	-	-	-	-	-	-	0	225
1742	-	-	-	-	5	17	11	-	-
1746	-	-	-	-	6	16	10	0	225
1747	-	-	-	-	5	18	12	-	-
1750	-	-	-	-	-	-	-	1	241
1751	-	-	-	-	-	-	-	0	249
1752	-	-	-	-	4	21	15	-	-
1756	-	-	-	-	5	18	12	0	249
1757	-	-	-	-	4	21	15	-	-
1760	-	-	-	-	-	-	-	1	249
1761	-	-	-	-	-	-	-	0	249
1767	-	-	-	-	6	17	11	-	-
1771	-	-	-	-	-	-	-	1	269
1772	-	-	-	-	4	19	13	-	-
1776	-	-	-	-	5	17	11	0	217
1777	-	-	-	-	4	20	14	-	-
1780	-	-	-	-	-	-	-	1	225
1781	-	-	-	-	-	-	-	0	233
1782	-	-	-	-	6	17	11	-	-
1785	-	-	-	-	4	20	30	-	-
1786	-	-	-	-	6	17	11	0	269
1787	-	-	-	-	4	19	13	-	-
1789	-	-	-	-	-	-	-	0	233
1790	-	-	-	-	-	-	-	1	269
1791	-	-	-	-	-	-	-	0	217
1792	-	-	-	-	4	21	15	-	-
1796	-	-	-	-	8	14	9	0	249
1798	-	-	-	-	6	16	10	-	-
1799	-	-	-	-	-	-	-	0	217
1800	-	-	-	-	4	21	30	1	285
1802	-	-	-	-	6	16	10	0	241
1804	-	-	-	-	-	-	-	0	249
1806	-	-	-	-	8	13	8	0	241
1807	-	-	-	-	6	16	10	-	-
1731	0	0	0	0	-	-	-	-	-
1736	0	0	0	14	-	-	-	-	-
1740	0	0	0	0	-	-	-	-	-
1741	0	0	0	0	-	-	-	-	-
1746	0	0	0	0	-	-	-	-	-
1750	0	0	0	0	-	-	-	-	-
1751	0	0	0	0	-	-	-	-	-
1756	0	0	0	0	-	-	-	-	-
1760	0	0	0	0	-	-	-	-	-
1761	0	0	0	0	-	-	-	-	-
1771	0	0	0	0	-	-	-	-	-
1776	0	0	0	0	-	-	-	-	-
1780	0	0	0	0	-	-	-	-	-
1781	0	0	0	0	-	-	-	-	-
1786	0	0	0	0	-	-	-	-	-
1790	0	0	0	0	-	-	-	-	-
1791	0	0	0	0	-	-	-	-	-
1796	0	0	0	0	-	-	-	-	-
1800	0	0	0	0	-	-	-	-	-
1802	0	0	0	0	-	-	-	-	-
1806	0	0	0	0	-	-	-	-	-
1810	0	0	0	0	-	-	-	1	253
1811	0	0	0	0	-	-	-	0	241
1812	-	-	-	-	6	17	11	-	-
1816	0	0	0	0	6	16	10	0	269
1817	-	-	-	-	5	19	13	-	-
1820	0	0	0	0	-	-	-	1	241
1821	0	0	0	0	-	-	-	0	269
1822	-	-	-	-	4	21	15	-	-
1826	0	0	0	0	-	-	-	0	249
1827	-	-	-	-	5	19	13	-	-
1829	-	-	-	-	6	16	10	-	-
1831	0	0	0	0	-	-	-	0	269
1832	-	-	-	-	5	17	11	-	-
1833	0	0	0	0	-	-	-	1	241
1836	0	0	0	0	-	-	-	0	225
1837	-	-	-	-	4	19	13	-	-
1839	-	-	-	-	6	14	9	-	-
1841	0	0	0	0	-	-	-	0	217
1842	-	-	-	-	5	17	11	-	-
1843	0	0	0	0	-	-	-	1	217
1846	0	0	0	0	-	-	-	0	225
1848	-	-	-	-	8	13	8	-	-
1849	-	-	-	-	4	0	29	-	-
1851	-	-	-	-	-	-	-	0	217
1852	0	0	0	0	9	11	6	0	253
1853	-	-	-	-	-	-	-	1	0
1854	-	-	-	-	-	-	-	0	225
1856	0	0	0	0	-	-	-	0	225
1857	-	-	-	-	8	12	7	-	-
1859	-	-	-	-	8	13	8	-	-
1861	0	0	0	0	-	-	-	0	225
1862	-	-	-	-	5	17	11	-	-
1863	0	0	0	0	-	-	-	1	253
1866	0	0	0	0	-	-	-	0	225
1867	-	-	-	-	4	20	14	-	-
1869	-	-	-	-	5	17	11	-	-
1871	0	0	0	0	-	-	-	0	233
1872	-	-	-	-	4	22	16	-	-
1873	0	0	0	0	-	-	-	1	225
1876	0	0	0	0	-	-	-	0	269
1877	-	-	-	-	4	20	14	-	-
1879	-	-	-	-	5	17	11	-	-
1881	0	0	0	0	-	-	-	0	233
1882	-	-	-	-	4	19	13	-	-
1883	0	0	0	0	-	-	-	1	225
1886	0	0	0	0	-	-	-	0	217
1887	-	-	-	-	5	19	13	-	-
1889	-	-	-	-	6	16	10	-	-
1891	0	0	0	0	-	-	-	0	269
1893	0	0	0	0	-	-	-	1	241
1896	0	0	0	0	-	-	-	0	217
1901	0	0	0	0	-	-	-	0	217
1903	0	0	0	0	-	-	-	1	241
1906	0	0	0	0	-	-	-	0	269
1911	-	-	-	-	-	-	-	0	217
1912	-	-	-	-	5	19	13	-	-
1913	-	-	-	-	-	-	-	1	293
1916	-	-	-	-	-	-	-	0	269
1919	-	-	-	-	5	17	11	-	-
1922	-	-	-	-	5	19	13	-	-
1923	-	-	-	-	-	-	-	1	225
1926	-	-	-	-	-	-	-	0	269
1927	-	-	-	-	4	19	13	-	-
1929	-	-	-	-	4	20	14	-	-
1931	-	-	-	-	-	-	-	0	217
1932	-	-	-	-	3	23	17	-	-
1933	-	-	-	-	-	-	-	1	233
1936	-	-	-	-	-	-	-	0	217
1937	-	-	-	-	3	24	18	-	-
1939	-	-	-	-	4	20	14	-	-
1941	-	-	-	-	-	-	-	0	225
1942	-	-	-	-	3	23	17	-	-
1943	-	-	-	-	-	-	-	1	233
1946	-	-	-	-	-	-	-	0	217
1947	-	-	-	-	3	24	18	-	-
1949	-	-	-	-	1	2	1	-	-
1950	-	-	-	-	3	23	30	-	-
1951	-	-	-	-	6	14	9	0	225
1952	-	-	-	-	5	18	12	-	-
1953	-	-	-	-	-	-	-	0	4
1954	-	-	-	-	-	-	-	0	217
1955	-	-	-	-	-	-	-	1	217
1956	-	-	-	-	-	-	-	0	249
1957	-	-	-	-	4	19	13	-	-
1959	-	-	-	-	9	11	6	-	-
1961	-	-	-	-	-	-	-	0	217
1962	-	-	-	-	6	14	9	-	-
1963	-	-	-	-	-	-	-	1	225
1966	-	-	-	-	-	-	-	0	217
1967	-	-	-	-	4	20	14	-	-
1969	-	-	-	-	6	14	9	-	-
1971	-	-	-	-	-	-	-	0	233
1972	-	-	-	-	6	14	9	-	-
1973	-	-	-	-	-	-	-	1	217
1976	-	-	-	-	-	-	-	0	217
1911	0	0	0	0	-	-	-	-	-
1913	0	0	0	0	-	-	-	-	-
1916	0	0	0	0	-	-	-	-	-
1923	0	0	0	0	-	-	-	-	-
1926	0	0	0	0	-	-	-	-	-
1931	0	0	0	0	-	-	-	-	-
1933	0	0	0	0	-	-	-	-	-
1936	0	0	0	0	-	-	-	-	-
1941	0	0	0	0	-	-	-	-	-
1943	0	0	0	0	-	-	-	-	-
1946	0	0	0	0	-	-	-	-	-
1951	0	0	0	0	-	-	-	-	-
1953	0	0	0	0	-	-	-	-	-
1955	0	0	0	0	-	-	-	-	-
1956	0	0	0	0	-	-	-	-	-
1961	0	0	0	0	-	-	-	-	-
1963	0	0	0	0	-	-	-	-	-
1966	0	0	0	0	-	-	-	-	-
1971	0	0	0	0	-	-	-	-	-
1973	0	0	0	0	-	-	-	-	-
1975	-	-	-	-	4	20	30	-	-
1976	0	0	0	0	-	-	-	-	-
1977	-	-	-	-	8	13	8	-	-
1979	-	-	-	-	8	12	7	0	233
1981	0	0	0	0	-	-	-	0	253
1982	-	-	-	-	6	14	9	-	-
1983	0	0	0	0	-	-	-	1	225
1986	0	0	0	0	-	-	-	0	217
1987	-	-	-	-	6	14	9	-	-
1989	-	-	-	-	8	13	8	-	-
1991	0	0	0	0	-	-	-	0	217
1992	-	-	-	-	6	16	10	-	-
1993	0	0	0	0	-	-	-	1	253
1996	0	0	0	0	-	-	-	0	241
1997	-	-	-	-	5	17	11	-	-
1999	-	-	-	-	6	17	11	-	-
2001	0	0	0	0	-	-	-	0	225
2002	-	-	-	-	4	22	16	-	-
2003	0	0	0	0	-	-	-	1	269
2006	0	0	0	0	-	-	-	0	269
2007	-	-	-	-	4	19	13	-	-
2009	-	-	-	-	5	17	11	-	-
2011	0	0	0	0	-	-	-	0	217
2012	-	-	-	-	4	23	17	-	-
2013	0	0	0	0	-	-	-	1	225
2016	0	0	0	0	-	-	-	0	285
2017	-	-	-	-	5	17	11	-	-
2019	-	-	-	-	6	14	9	-	-
2021	0	0	0	0	-	-	-	0	225
2022	-	-	-	-	5	17	11	-	-
2023	0	0	0	0	-	-	-	1	217
2024	-	-	-	-	-	-	-	0	285
2026	0	0	0	0	-	-	-	0	225
2027	-	-	-	-	6	16	10	-	-
2031	0	0	0	0	-	-	-	0	241
2032	-	-	-	-	6	16	10	-	-
2036	0	0	0	0	-	-	-	0	241
2037	-	-	-	-	5	18	12	-	-
2041	0	0	0	0	-	-	-	0	249
